bed_chrom	bed_start	bed_end	bed_featname	bc_chromo	bc_start	bc_end	bc_original_depth	bc_baseline_only	bc_baseline_gc	bc_baseline_gc_pca	bc_null_depth	bc_mask	bc_bin_z_score	bc_segment_ids
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr1	5	85	region1	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	100	200	region2	chr1	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr1	300000	300180	region3	chr1	300000	400000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
chr2	300	382	region4	chr2	0	100000	NA	NA	NA	NA	NA	false	NA	NA
